,gender,customer_type,age,type_of_travel,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
85673,Male,Loyal Customer,43,Business travel,2173,1,0,3,4,4,4,4,0,0,Neutral
85674,Male,Loyal Customer,35,Business travel,2173,3,3,3,5,5,5,3,0,0,Satisfied
85675,Female,Loyal Customer,41,Business travel,2173,3,3,3,5,4,4,3,0,0,Satisfied
85676,Female,Loyal Customer,53,Business travel,2174,3,3,3,4,3,3,3,0,0,Dissatisfied
85678,Female,Loyal Customer,22,Business travel,2174,3,2,2,3,3,3,3,32,58,Dissatisfied
85682,Male,Loyal Customer,35,Business travel,2174,2,1,2,2,5,5,3,17,0,Satisfied
85683,Female,Loyal Customer,45,Business travel,2174,3,3,3,5,5,5,3,0,0,Satisfied
85684,Male,Loyal Customer,57,Business travel,2174,4,4,4,4,2,2,5,8,0,Satisfied
85687,Male,Loyal Customer,27,Business travel,2174,2,2,2,3,3,4,3,1,0,Satisfied
85688,Female,Loyal Customer,57,Business travel,2174,1,1,1,2,4,4,4,4,0,Satisfied
85692,Male,Loyal Customer,42,Business travel,2174,1,1,1,3,4,4,3,0,11,Satisfied
85693,Female,Disloyal Customer,36,Business travel,2174,3,3,3,4,4,4,4,0,0,Neutral
85698,Female,Loyal Customer,43,Business travel,2174,3,3,3,4,2,2,4,0,0,Satisfied
85700,Male,Loyal Customer,40,Business travel,2174,4,4,4,3,4,4,3,0,4,Satisfied
85701,Female,Loyal Customer,26,Business travel,2174,1,1,1,4,4,3,4,8,0,Satisfied
85702,Female,Loyal Customer,39,Business travel,2174,3,2,3,2,2,2,2,0,0,Satisfied
85703,Male,Loyal Customer,55,Business travel,2174,3,2,2,2,3,3,3,0,0,Dissatisfied
85706,Female,Loyal Customer,25,Business travel,2174,2,4,4,2,2,4,2,0,0,Satisfied
85711,Female,Loyal Customer,60,Business travel,2174,1,5,3,4,4,4,4,0,0,Neutral
85713,Male,Loyal Customer,45,Business travel,2174,1,1,1,5,5,5,3,0,0,Satisfied
85717,Female,Loyal Customer,55,Business travel,2174,2,2,4,2,4,4,5,64,75,Satisfied
85719,Female,Loyal Customer,39,Business travel,2174,5,5,5,2,4,4,5,18,20,Satisfied
85721,Female,Loyal Customer,53,Business travel,2174,5,5,5,3,4,4,3,15,3,Satisfied
85722,Female,Loyal Customer,45,Business travel,2174,3,3,3,5,5,5,5,1,0,Satisfied
85723,Female,Loyal Customer,49,Business travel,2174,0,5,0,3,5,5,4,11,0,Satisfied
85727,Male,Disloyal Customer,0,Business travel,2174,2,1,2,5,5,5,5,0,0,Neutral
85728,Male,Loyal Customer,36,Business travel,2174,5,5,5,5,4,4,3,21,0,Satisfied
85730,Female,Loyal Customer,51,Business travel,2174,3,4,4,5,3,3,3,55,50,Dissatisfied
85731,Male,Loyal Customer,43,Business travel,2175,5,5,5,4,4,4,5,0,0,Satisfied
85732,Male,Loyal Customer,33,Business travel,2175,5,5,5,5,5,3,5,6,18,Satisfied
85734,Male,Loyal Customer,35,Business travel,2175,5,5,3,4,4,4,4,0,0,Neutral
85735,Female,Loyal Customer,39,Business travel,2175,1,1,1,4,4,4,4,0,2,Satisfied
85736,Male,Loyal Customer,40,Business travel,2175,4,4,4,5,5,5,4,0,0,Satisfied
85737,Male,Loyal Customer,19,Business travel,2175,3,3,3,4,4,5,4,0,0,Satisfied
85738,Male,Loyal Customer,60,Business travel,2175,2,2,2,3,5,5,3,10,0,Satisfied
85739,Male,Loyal Customer,54,Business travel,2175,4,4,4,3,5,5,3,129,128,Satisfied
85740,Male,Loyal Customer,45,Business travel,2176,4,4,4,3,5,5,4,0,0,Satisfied
85742,Female,Loyal Customer,47,Business travel,2176,3,3,3,4,5,5,3,61,40,Satisfied
85743,Male,Disloyal Customer,0,Business travel,2176,3,4,4,3,3,2,3,0,15,Neutral
85744,Female,Loyal Customer,40,Business travel,2176,1,1,2,4,4,4,3,43,31,Satisfied
85745,Male,Loyal Customer,70,Business travel,2176,3,1,1,5,3,3,4,0,0,Dissatisfied
85747,Female,Loyal Customer,33,Business travel,2176,3,3,3,5,4,5,5,6,24,Satisfied
85750,Female,Loyal Customer,54,Business travel,2176,2,2,4,2,4,4,4,100,124,Satisfied
85751,Male,Loyal Customer,48,Business travel,2176,2,4,2,2,5,5,4,65,54,Satisfied
85753,Female,Loyal Customer,59,Business travel,2176,3,3,4,5,3,3,5,0,0,Satisfied
85756,Female,Loyal Customer,51,Business travel,2176,4,4,4,5,3,3,3,1,10,Satisfied
85759,Female,Disloyal Customer,22,Business travel,2176,0,2,0,0,4,5,5,1,0,Satisfied
85760,Male,Loyal Customer,53,Business travel,2176,5,5,2,4,4,4,4,0,0,Satisfied
85761,Female,Loyal Customer,39,Business travel,2176,5,5,5,2,5,5,5,0,15,Satisfied
85762,Female,Loyal Customer,47,Business travel,2176,1,1,1,3,5,5,5,0,0,Satisfied
85769,Female,Loyal Customer,50,Business travel,2176,1,1,1,3,4,4,5,11,0,Satisfied
85771,Male,Disloyal Customer,37,Business travel,2176,1,1,1,3,3,4,3,52,61,Dissatisfied
85775,Female,Loyal Customer,52,Business travel,2176,4,4,4,4,4,4,5,0,0,Satisfied
85776,Female,Loyal Customer,56,Business travel,2176,3,3,3,5,5,5,5,118,161,Satisfied
85782,Female,Loyal Customer,54,Business travel,2176,3,3,3,3,4,4,3,13,4,Satisfied
85785,Female,Loyal Customer,42,Business travel,2176,1,4,4,1,1,1,3,0,7,Dissatisfied
85786,Male,Loyal Customer,46,Business travel,2176,2,2,2,2,2,2,4,84,63,Satisfied
85787,Female,Loyal Customer,39,Business travel,2176,4,5,3,4,4,4,4,0,0,Neutral
85790,Female,Loyal Customer,35,Business travel,2176,3,3,4,2,4,4,3,0,16,Satisfied
85794,Male,Loyal Customer,39,Business travel,2176,2,2,2,3,4,4,3,0,0,Satisfied
85796,Female,Loyal Customer,43,Business travel,2176,2,2,2,3,4,4,5,7,6,Satisfied
85797,Female,Loyal Customer,25,Business travel,2176,1,1,1,4,4,5,4,0,0,Satisfied
85799,Male,Loyal Customer,35,Business travel,2176,2,4,4,4,2,2,2,0,0,Dissatisfied
85801,Female,Loyal Customer,46,Business travel,2176,2,2,2,5,4,4,4,0,0,Satisfied
85803,Male,Loyal Customer,42,Business travel,2176,4,4,4,5,4,4,3,17,0,Satisfied
85804,Male,Loyal Customer,35,Business travel,2176,2,4,4,2,4,4,2,6,61,Dissatisfied
85805,Female,Loyal Customer,22,Business travel,2176,2,4,3,2,2,3,2,18,4,Dissatisfied
85806,Male,Loyal Customer,27,Business travel,2176,3,2,2,3,3,4,3,0,0,Dissatisfied
85807,Male,Loyal Customer,50,Business travel,2176,1,1,1,2,5,5,3,84,101,Satisfied
85808,Female,Loyal Customer,48,Business travel,2176,3,3,3,5,5,5,5,7,32,Satisfied
85809,Female,Loyal Customer,52,Business travel,2176,3,3,3,2,3,3,3,0,0,Satisfied
85810,Female,Loyal Customer,27,Business travel,2176,1,5,3,4,4,4,4,0,0,Neutral
85811,Male,Loyal Customer,60,Personal Travel,2176,4,5,4,2,2,2,4,0,0,Dissatisfied
85813,Male,Loyal Customer,48,Business travel,2176,1,1,5,3,4,4,4,0,0,Satisfied
85814,Female,Loyal Customer,40,Business travel,2176,2,2,4,5,3,3,4,0,5,Satisfied
85816,Male,Loyal Customer,58,Business travel,2177,5,5,3,2,4,5,3,0,0,Satisfied
85818,Male,Loyal Customer,50,Business travel,2177,1,1,1,5,5,5,5,0,0,Satisfied
85819,Male,Loyal Customer,68,Business travel,2177,2,2,2,4,4,4,5,25,15,Satisfied
85820,Female,Loyal Customer,40,Business travel,2177,3,1,3,5,5,5,3,24,20,Satisfied
85821,Male,Loyal Customer,39,Business travel,2177,3,3,3,5,5,5,5,1,0,Satisfied
85822,Female,Loyal Customer,49,Business travel,2177,5,5,5,4,4,4,5,0,0,Satisfied
85823,Male,Loyal Customer,17,Business travel,2177,3,3,3,4,4,1,4,6,0,Satisfied
85824,Male,Loyal Customer,39,Business travel,2178,3,3,3,5,2,2,5,0,0,Satisfied
85825,Male,Loyal Customer,52,Business travel,2178,4,4,4,3,5,5,5,52,63,Satisfied
85826,Male,Loyal Customer,41,Business travel,2178,3,3,3,2,5,5,3,0,0,Satisfied
85827,Female,Loyal Customer,44,Business travel,2178,5,5,5,4,5,5,4,0,0,Satisfied
85828,Male,Loyal Customer,39,Business travel,2178,4,4,4,2,5,5,5,36,39,Satisfied
85829,Male,Loyal Customer,51,Business travel,2178,5,5,3,4,4,4,4,0,0,Neutral
85830,Female,Loyal Customer,44,Business travel,2178,4,4,4,3,5,5,4,46,54,Satisfied
85831,Male,Loyal Customer,26,Business travel,2178,5,5,5,3,3,1,3,9,0,Satisfied
85832,Female,Loyal Customer,36,Business travel,2178,3,3,3,1,5,5,3,0,0,Satisfied
85833,Male,Loyal Customer,57,Business travel,2178,4,4,4,2,4,4,5,2,0,Satisfied
85834,Male,Loyal Customer,37,Business travel,2179,2,5,5,5,2,2,4,15,8,Dissatisfied
85835,Male,Loyal Customer,41,Business travel,2179,5,5,4,3,5,5,3,50,39,Satisfied
85836,Male,Loyal Customer,51,Business travel,2179,5,5,2,2,4,4,3,0,0,Satisfied
85837,Male,Loyal Customer,60,Business travel,2179,1,1,5,5,4,4,5,0,0,Satisfied
85838,Female,Loyal Customer,51,Business travel,2179,2,2,3,4,4,4,4,0,0,Neutral
85839,Male,Loyal Customer,56,Business travel,2180,1,1,3,3,5,5,5,1,0,Satisfied
85840,Male,Loyal Customer,53,Business travel,2180,4,4,4,3,5,5,3,0,11,Satisfied
85841,Female,Loyal Customer,65,Business travel,2180,2,2,2,3,3,3,3,0,0,Satisfied
85842,Female,Loyal Customer,59,Business travel,2180,2,5,3,2,2,2,2,15,17,Dissatisfied
85843,Female,Loyal Customer,60,Business travel,2180,1,1,1,5,3,3,4,0,12,Satisfied
85844,Female,Loyal Customer,50,Business travel,2180,4,4,3,4,4,4,5,8,10,Satisfied
85845,Female,Loyal Customer,53,Business travel,2180,4,4,4,2,5,5,4,90,99,Satisfied
85846,Male,Loyal Customer,39,Business travel,2180,2,2,3,4,4,4,4,0,0,Neutral
85847,Male,Loyal Customer,41,Business travel,2181,1,4,5,2,1,1,2,53,28,Dissatisfied
85848,Female,Loyal Customer,56,Business travel,2181,4,4,4,2,4,4,3,19,20,Satisfied
85849,Female,Loyal Customer,44,Business travel,2181,5,5,5,4,4,5,3,0,0,Satisfied
85850,Male,Loyal Customer,47,Business travel,2182,0,5,0,3,3,3,4,21,24,Satisfied
85851,Female,Loyal Customer,51,Business travel,2182,2,2,2,2,5,5,3,14,29,Satisfied
85855,Female,Loyal Customer,44,Business travel,2182,1,1,1,4,4,4,3,0,0,Satisfied
85856,Female,Loyal Customer,39,Business travel,2182,5,5,5,3,5,5,5,9,2,Satisfied
85858,Male,Loyal Customer,30,Business travel,,4,4,3,4,4,4,5,10,0,Satisfied
85859,Female,Loyal Customer,21,Business travel,2182,1,2,3,4,4,4,4,0,0,Neutral
85860,Male,Loyal Customer,42,Business travel,2182,3,3,3,4,4,4,4,0,0,Neutral
85861,Female,Disloyal Customer,25,Business travel,2182,1,0,1,5,5,4,5,0,0,Satisfied
85862,Male,Loyal Customer,39,Business travel,2182,3,4,3,4,4,4,4,0,0,Neutral
85863,Female,Loyal Customer,45,Business travel,2182,2,2,5,4,5,5,5,0,0,Satisfied
85865,Female,Loyal Customer,57,Business travel,2182,1,1,1,5,3,3,4,39,31,Satisfied
85869,Male,Loyal Customer,38,Business travel,2182,2,2,2,2,5,5,4,0,0,Satisfied
85870,Male,Disloyal Customer,0,Personal Travel,2182,3,5,3,3,3,3,3,0,0,Neutral
85874,Male,Loyal Customer,54,Business travel,2182,1,1,1,2,4,4,4,8,0,Satisfied
85877,Male,Loyal Customer,49,Business travel,2182,2,4,4,4,2,2,4,7,0,Dissatisfied
85880,Male,Loyal Customer,48,Business travel,2182,2,2,2,3,5,5,3,10,0,Satisfied
85881,Female,Loyal Customer,49,Business travel,2182,3,5,3,4,4,4,4,7,0,Satisfied
85884,Female,Loyal Customer,39,Business travel,2182,3,3,3,5,5,5,3,31,31,Satisfied
85885,Female,Loyal Customer,45,Business travel,2182,5,5,5,2,4,4,3,0,6,Satisfied
85888,Female,Loyal Customer,39,Business travel,2182,3,3,3,2,4,4,4,1,15,Satisfied
85889,Male,Loyal Customer,46,Business travel,2182,0,4,0,4,4,4,3,0,0,Satisfied
85891,Female,Loyal Customer,51,Business travel,2182,3,3,3,4,4,4,2,0,0,Satisfied
85893,Female,Loyal Customer,43,Business travel,2182,2,5,5,2,2,2,2,5,0,Dissatisfied
85894,Female,Loyal Customer,50,Business travel,2182,3,3,3,3,4,4,3,0,0,Satisfied
85896,Male,Loyal Customer,44,Business travel,2182,3,5,5,2,3,3,2,0,0,Dissatisfied
85898,Female,Disloyal Customer,26,Business travel,2182,2,2,2,4,4,3,4,0,0,Dissatisfied
85899,Female,Loyal Customer,57,Business travel,2182,4,4,4,3,4,4,4,0,0,Satisfied
85900,Male,Loyal Customer,21,Business travel,2182,2,2,2,4,4,4,4,64,46,Satisfied
85901,Female,Loyal Customer,58,Business travel,2182,4,1,4,5,3,3,4,0,0,Satisfied
85902,Male,Loyal Customer,46,Business travel,2182,3,3,3,4,5,5,3,0,0,Satisfied
85904,Male,Loyal Customer,27,Business travel,2182,3,3,3,4,4,4,4,9,4,Satisfied
85908,Female,Loyal Customer,58,Business travel,2182,1,5,3,4,4,4,4,0,0,Neutral
85911,Male,Loyal Customer,48,Business travel,2182,4,4,4,4,4,4,4,5,6,Satisfied
85917,Male,Disloyal Customer,0,Business travel,2182,3,3,4,4,4,3,4,12,17,Neutral
85918,Male,Loyal Customer,39,Business travel,2182,1,1,3,4,4,4,4,0,0,Neutral
85919,Female,Loyal Customer,47,Business travel,2182,3,3,3,5,5,5,5,143,117,Satisfied
85921,Female,Loyal Customer,45,Business travel,2182,3,3,3,5,2,2,3,0,0,Satisfied
85925,Male,Disloyal Customer,26,Business travel,2182,4,4,4,5,5,4,5,0,0,Dissatisfied
85926,Female,Disloyal Customer,41,Business travel,2182,1,1,1,5,5,5,5,3,16,Dissatisfied
85927,Male,Loyal Customer,48,Business travel,2182,2,4,2,3,2,2,2,0,3,Dissatisfied
85930,Female,Loyal Customer,57,Business travel,2183,2,2,4,2,4,5,5,16,11,Satisfied
85931,Female,Loyal Customer,58,Business travel,2183,0,0,0,4,3,3,4,42,36,Satisfied
85932,Female,Loyal Customer,44,Business travel,2183,2,2,3,4,5,5,4,0,0,Satisfied
85933,Female,Loyal Customer,45,Business travel,2183,3,3,3,4,4,4,4,0,0,Neutral
85934,Female,Loyal Customer,52,Business travel,2183,3,3,3,5,4,4,4,0,2,Satisfied
85935,Male,Loyal Customer,47,Business travel,2184,5,5,5,2,4,5,4,0,0,Satisfied
85936,Male,Loyal Customer,20,Business travel,2184,5,5,4,4,5,3,4,5,0,Satisfied
85938,Female,Loyal Customer,39,Business travel,2184,2,2,2,5,5,4,5,0,0,Satisfied
85939,Female,Loyal Customer,44,Business travel,2184,4,5,5,4,3,3,4,171,175,Dissatisfied
85940,Female,Loyal Customer,39,Business travel,2184,3,3,3,2,5,5,5,0,0,Satisfied
85941,Female,Loyal Customer,68,Business travel,2185,2,1,1,3,3,2,2,0,0,Dissatisfied
85942,Male,Loyal Customer,39,Business travel,2185,3,1,1,2,3,3,2,2,6,Dissatisfied
85943,Male,Loyal Customer,62,Business travel,2185,2,5,5,4,2,2,3,99,85,Dissatisfied
85944,Male,Loyal Customer,44,Business travel,2185,0,0,0,3,2,4,4,0,0,Satisfied
85945,Female,Loyal Customer,55,Business travel,2185,1,1,1,5,3,3,3,0,6,Satisfied
85947,Female,Loyal Customer,37,Business travel,2185,2,2,2,5,4,4,3,18,13,Satisfied
85948,Female,Loyal Customer,55,Business travel,2185,2,2,5,5,5,5,3,0,0,Satisfied
85949,Female,Loyal Customer,46,Business travel,2185,2,2,2,4,4,4,4,0,0,Satisfied
85951,Male,Loyal Customer,60,Business travel,2186,4,4,4,2,5,5,4,0,0,Satisfied
85953,Male,Loyal Customer,43,Business travel,2186,5,5,2,4,4,4,4,39,39,Satisfied
85954,Female,Loyal Customer,58,Business travel,2186,5,5,3,4,4,4,4,0,0,Neutral
85955,Male,Loyal Customer,53,Business travel,2186,3,5,3,4,4,4,4,0,0,Neutral
85956,Female,Loyal Customer,60,Business travel,2186,4,3,3,5,2,4,3,0,0,Dissatisfied
85957,Female,Loyal Customer,58,Business travel,2186,3,3,5,3,3,3,4,0,0,Satisfied
85958,Male,Loyal Customer,50,Business travel,2187,5,5,5,2,5,5,3,0,2,Satisfied
85959,Female,Loyal Customer,51,Business travel,2187,2,2,2,3,4,4,5,20,16,Satisfied
85960,Male,Loyal Customer,54,Business travel,2187,3,3,3,5,5,5,5,0,0,Satisfied
85961,Female,Loyal Customer,38,Business travel,2187,2,5,3,4,4,4,4,0,0,Neutral
85962,Female,Loyal Customer,41,Business travel,2187,5,5,5,3,4,4,4,17,6,Satisfied
85963,Female,Loyal Customer,48,Business travel,2187,3,3,3,4,5,5,5,3,0,Satisfied
85964,Female,Loyal Customer,77,Business travel,2187,4,4,4,5,5,5,5,1,0,Satisfied
85965,Male,Loyal Customer,47,Business travel,2187,4,5,4,4,5,5,4,933,920,Satisfied
85966,Male,Loyal Customer,18,Business travel,,1,3,3,4,4,4,4,0,0,Neutral
85967,Female,Loyal Customer,47,Business travel,2187,5,5,5,3,4,4,5,34,38,Satisfied
85968,Female,Loyal Customer,48,Business travel,2187,5,5,5,3,5,5,4,0,0,Satisfied
85969,Male,Loyal Customer,44,Business travel,2187,5,5,5,5,4,4,2,23,12,Satisfied
85970,Male,Loyal Customer,35,Business travel,2187,1,1,1,5,4,4,4,0,3,Satisfied
85971,Female,Loyal Customer,75,Business travel,2188,2,4,4,3,2,2,3,3,0,Dissatisfied
85972,Male,Loyal Customer,42,Business travel,2188,5,5,5,2,2,2,4,0,10,Satisfied
85974,Female,Loyal Customer,49,Business travel,2189,4,4,3,4,4,4,4,0,0,Neutral
85975,Male,Loyal Customer,41,Business travel,2189,4,2,4,5,4,4,3,4,28,Satisfied
85976,Female,Loyal Customer,41,Business travel,2189,1,1,1,5,3,3,4,0,1,Satisfied
85977,Male,Loyal Customer,40,Business travel,2189,4,4,4,5,5,5,5,0,2,Satisfied
85978,Male,Loyal Customer,41,Business travel,2189,0,0,0,3,2,2,5,0,0,Satisfied
85979,Male,Loyal Customer,44,Business travel,2189,1,1,1,5,4,4,4,2,0,Satisfied
85980,Male,Loyal Customer,46,Business travel,2189,0,5,0,4,1,1,3,0,16,Satisfied
85981,Female,Loyal Customer,54,Business travel,2189,2,2,2,3,5,5,5,25,14,Satisfied
85982,Female,Loyal Customer,58,Business travel,2190,1,1,1,5,2,2,4,0,1,Satisfied
85983,Male,Loyal Customer,44,Business travel,2190,4,4,4,5,4,4,4,54,43,Satisfied
85984,Female,Loyal Customer,57,Business travel,2190,5,5,5,4,4,4,4,5,0,Satisfied
85985,Female,Loyal Customer,51,Business travel,2190,3,1,1,5,2,3,2,0,4,Dissatisfied
85986,Female,Loyal Customer,54,Business travel,2190,5,5,5,3,5,5,4,0,0,Satisfied
85987,Male,Loyal Customer,54,Business travel,2190,3,3,3,3,5,5,5,0,0,Satisfied
85988,Female,Loyal Customer,34,Business travel,2190,0,0,0,2,2,2,3,0,0,Satisfied
85990,Female,Loyal Customer,43,Business travel,2191,4,4,4,3,4,4,2,0,0,Satisfied
85991,Female,Loyal Customer,57,Business travel,2191,5,5,5,5,4,4,3,0,0,Satisfied
85992,Female,Loyal Customer,25,Business travel,2191,3,5,5,3,3,3,3,0,0,Satisfied
85993,Male,Loyal Customer,45,Business travel,2191,3,4,3,4,4,4,4,0,0,Neutral
85994,Male,Loyal Customer,48,Business travel,2191,5,5,5,2,5,4,3,12,12,Satisfied
85995,Female,Loyal Customer,39,Business travel,2191,3,3,3,2,4,4,3,0,3,Satisfied
85996,Female,Loyal Customer,39,Business travel,2191,4,4,4,5,5,5,3,15,0,Satisfied
85998,Female,Loyal Customer,69,Business travel,2191,3,2,2,1,3,3,3,0,4,Dissatisfied
85999,Female,Loyal Customer,39,Business travel,2191,1,1,3,4,4,4,5,0,3,Satisfied
86000,Male,Loyal Customer,67,Business travel,2191,5,1,3,2,5,5,2,0,0,Dissatisfied
86001,Female,Loyal Customer,33,Business travel,2191,5,5,5,3,4,4,2,13,6,Satisfied
86002,Female,Loyal Customer,20,Business travel,2191,1,5,3,4,4,4,4,0,0,Neutral
86003,Female,Loyal Customer,25,Business travel,2192,3,1,3,3,3,3,3,0,0,Satisfied
86004,Female,Loyal Customer,40,Business travel,2192,2,2,3,4,4,4,4,0,0,Neutral
86005,Female,Loyal Customer,44,Business travel,2192,3,3,3,4,4,4,3,27,23,Satisfied
86006,Male,Loyal Customer,35,Business travel,2192,2,2,2,4,4,4,4,18,3,Satisfied
86007,Male,Loyal Customer,74,Business travel,2192,1,0,0,2,5,5,2,16,19,Dissatisfied
86008,Male,Loyal Customer,46,Business travel,2192,1,1,1,4,2,2,5,3,3,Satisfied
86010,Female,Loyal Customer,55,Business travel,2193,3,5,5,4,3,3,3,14,13,Dissatisfied
86011,Female,Loyal Customer,39,Business travel,2193,2,2,2,2,4,4,5,0,0,Satisfied
86012,Male,Loyal Customer,21,Business travel,2193,2,2,2,4,4,5,4,0,0,Satisfied
86013,Male,Loyal Customer,38,Business travel,2193,2,2,2,2,4,4,3,23,8,Satisfied
86014,Female,Loyal Customer,59,Business travel,2193,3,3,3,5,2,2,3,0,0,Satisfied
86015,Female,Loyal Customer,65,Business travel,2193,2,4,3,4,4,4,4,0,0,Neutral
86016,Female,Loyal Customer,47,Business travel,2193,3,4,4,3,1,3,3,0,9,Dissatisfied
86017,Female,Loyal Customer,61,Business travel,2193,3,2,2,3,3,3,3,0,0,Dissatisfied
86019,Female,Loyal Customer,47,Business travel,2193,4,4,4,2,4,4,5,0,0,Satisfied
86020,Male,Loyal Customer,36,Business travel,2194,3,3,2,3,4,4,5,14,0,Satisfied
86022,Female,Loyal Customer,50,Business travel,2194,3,2,3,5,5,5,4,1,0,Satisfied
86023,Female,Loyal Customer,48,Business travel,2194,2,2,2,4,5,5,5,0,0,Satisfied
86024,Female,Loyal Customer,38,Business travel,2194,2,2,2,5,5,5,3,2,0,Satisfied
86025,Male,Loyal Customer,47,Business travel,2194,2,2,2,3,5,5,4,4,0,Satisfied
86026,Female,Loyal Customer,42,Business travel,2194,1,1,1,3,5,5,5,0,0,Satisfied
86027,Male,Loyal Customer,53,Business travel,2194,5,5,5,5,5,5,4,0,0,Satisfied
86028,Female,Loyal Customer,57,Business travel,2195,0,0,0,2,4,2,4,0,0,Satisfied
86029,Female,Loyal Customer,60,Business travel,2195,3,3,3,5,4,4,3,0,0,Satisfied
86030,Male,Loyal Customer,39,Business travel,2195,4,4,3,5,5,5,3,0,0,Satisfied
86031,Female,Loyal Customer,32,Business travel,2195,4,4,4,5,5,5,5,0,0,Satisfied
86032,Male,Loyal Customer,26,Business travel,2195,5,1,4,5,5,3,5,3,0,Dissatisfied
86033,Male,Loyal Customer,46,Business travel,2195,1,5,5,3,1,1,2,0,0,Dissatisfied
86034,Male,Disloyal Customer,0,Business travel,2195,5,5,5,4,4,4,4,0,0,Neutral
86035,Female,Loyal Customer,34,Business travel,2195,4,4,4,5,5,5,4,0,0,Satisfied
86037,Female,Loyal Customer,25,Business travel,2195,2,2,2,3,3,5,3,0,0,Satisfied
86038,Female,Loyal Customer,25,Business travel,2195,2,5,5,2,2,4,2,0,0,Satisfied
86039,Female,Loyal Customer,36,Business travel,2196,3,4,5,3,3,3,3,29,32,Dissatisfied
86040,Female,Loyal Customer,47,Business travel,2196,3,2,2,1,3,3,2,26,27,Dissatisfied
86041,Female,Loyal Customer,56,Business travel,2196,1,2,2,2,1,1,3,0,0,Dissatisfied
86042,Female,Loyal Customer,36,Business travel,2196,2,2,1,2,3,2,4,0,0,Dissatisfied
86043,Female,Disloyal Customer,0,Business travel,2196,2,2,2,4,4,4,4,10,0,Neutral
86044,Male,Loyal Customer,44,Business travel,2196,2,4,4,1,2,2,3,44,34,Dissatisfied
86045,Female,Loyal Customer,58,Business travel,2196,3,3,3,4,2,2,5,1,0,Satisfied
86046,Female,Loyal Customer,32,Business travel,2196,3,3,3,5,5,5,5,0,0,Satisfied
86047,Male,Loyal Customer,58,Business travel,2196,3,3,3,2,4,4,5,0,0,Satisfied
86049,Female,Loyal Customer,39,Business travel,2197,3,5,3,4,4,4,4,0,0,Neutral
86050,Male,Loyal Customer,33,Business travel,2197,0,4,0,5,1,2,5,281,287,Satisfied
86051,Male,Loyal Customer,56,Business travel,2197,5,5,5,2,4,4,5,0,0,Satisfied
86052,Male,Loyal Customer,63,Business travel,2197,2,2,2,4,4,4,4,0,0,Satisfied
86053,Male,Loyal Customer,41,Business travel,2197,2,2,3,5,5,5,5,16,5,Satisfied
86054,Male,Loyal Customer,39,Business travel,2197,3,2,2,3,1,4,3,129,144,Dissatisfied
86055,Male,Loyal Customer,60,Business travel,2198,3,3,3,3,4,4,3,23,4,Satisfied
86056,Female,Loyal Customer,51,Business travel,2198,3,2,2,3,3,3,3,0,0,Dissatisfied
86057,Female,Loyal Customer,25,Business travel,2198,2,3,3,2,2,4,2,0,0,Satisfied
86058,Male,Loyal Customer,44,Business travel,2198,5,5,5,2,5,5,5,15,20,Satisfied
86059,Female,Disloyal Customer,0,Business travel,2198,3,3,3,4,4,5,4,0,0,Neutral
86060,Female,Loyal Customer,72,Business travel,2198,0,1,1,2,4,4,4,0,0,Satisfied
86061,Female,Loyal Customer,59,Business travel,2198,1,5,4,2,1,1,3,33,41,Dissatisfied
86062,Female,Loyal Customer,51,Business travel,2198,4,4,4,4,5,5,3,3,10,Satisfied
86063,Female,Loyal Customer,49,Business travel,2198,1,1,1,3,5,5,3,0,0,Satisfied
86064,Male,Loyal Customer,57,Business travel,2198,0,0,0,3,3,3,4,0,0,Satisfied
86065,Male,Loyal Customer,43,Business travel,2198,3,4,4,4,3,3,2,0,0,Dissatisfied
86067,Male,Loyal Customer,51,Business travel,2199,1,1,1,2,5,5,4,0,0,Satisfied
86068,Female,Loyal Customer,12,Business travel,2199,3,2,4,3,3,4,3,12,27,Dissatisfied
86069,Female,Loyal Customer,51,Business travel,2199,5,5,3,4,4,4,4,0,0,Neutral
86070,Female,Loyal Customer,43,Business travel,2199,0,5,0,4,5,5,3,0,0,Satisfied
86072,Female,Loyal Customer,36,Business travel,2199,4,4,4,4,4,4,4,0,0,Satisfied
86073,Female,Loyal Customer,25,Business travel,2199,5,5,5,2,2,4,2,0,0,Satisfied
86074,Female,Loyal Customer,25,Business travel,2199,1,3,3,4,4,4,4,0,0,Satisfied
86075,Female,Loyal Customer,78,Business travel,2200,1,5,3,4,4,4,4,0,0,Neutral
86076,Female,Loyal Customer,47,Business travel,2200,2,2,2,5,4,5,5,0,0,Satisfied
86077,Male,Loyal Customer,39,Business travel,2201,5,5,5,2,2,3,2,0,0,Satisfied
86078,Male,Loyal Customer,56,Business travel,2201,5,5,3,4,4,4,4,0,0,Neutral
86079,Male,Loyal Customer,47,Business travel,2201,4,4,4,2,5,4,4,56,52,Satisfied
86080,Female,Loyal Customer,60,Business travel,2201,5,5,2,5,4,5,5,138,179,Satisfied
86081,Female,Loyal Customer,25,Business travel,2201,1,2,3,4,4,4,4,0,0,Satisfied
86082,Male,Loyal Customer,46,Business travel,2201,5,5,5,4,4,4,5,0,0,Satisfied
